slug,city,state,postal_code,derived_county,method,confidence,share,reason
"central-baptist-church-8294","Magnolia",AR,71754,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"paragould-community-center","Paragould",AR,72450,"Greene",zip_nearest_county_centroid,0.78,0.9828,"ZCTA spans 2 counties; nearest county centroid is 9 km away, next is 28 km (margin 19 km)"
"pickleball-savings-headquarters","Pearcy",AR,71964,"Garland",zip_nearest_county_centroid,0.78,0.8151,"ZCTA spans 2 counties; nearest county centroid is 21 km away, next is 34 km (margin 13 km)"
"walton-lifetime-health-center","Siloam Springs",AR,72761,"Benton",zip_nearest_county_centroid,0.6,0.9535,"ZCTA spans 2 counties; nearest county centroid is 31 km away, next is 37 km (margin 7 km)"
"harry-sbanotto-park","Springdale",AR,72762,"Benton",zip_nearest_county_centroid,0.6,0.2138,"ZCTA spans 2 counties; nearest county centroid is 20 km away, next is 25 km (margin 4 km) — OVERRODE the larger-by-land-area candidate"
"springdale-recreation-center","Springdale",AR,72762,"Benton",zip_nearest_county_centroid,0.6,0.2138,"ZCTA spans 2 counties; nearest county centroid is 20 km away, next is 25 km (margin 4 km) — OVERRODE the larger-by-land-area candidate"
"the-jones-center","Springdale",AR,72764,"Benton",zip_nearest_county_centroid,0.6,0.0893,"ZCTA spans 2 counties; nearest county centroid is 20 km away, next is 25 km (margin 4 km) — OVERRODE the larger-by-land-area candidate"
"walnut-ridge-high-school","Walnut Ridge",AR,72476,"Lawrence",zip_nearest_county_centroid,0.78,0.8261,"ZCTA spans 4 counties; nearest county centroid is 13 km away, next is 31 km (margin 18 km)"
"ajo-palo-verde-park-ii","Ajo",AZ,85321,"Pima",zip_nearest_county_centroid,0.6,0.8898,"ZCTA spans 2 counties; nearest county centroid is 108 km away, next is 111 km (margin 3 km)"
"dolce-vita-luxury-homes","Apache Junction",AZ,85117,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"la-hacienda-rv-resort","Apache Junction",AZ,85220,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"pioneer-park-8735","Az",AZ,86304,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"riverview-rv-resort","Bullhead City",AZ,86430,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"rotary-park-5897","Bullhead City",AZ,86430,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"the-picklr-cave-creek","Cave Creek",AZ,,"",none,0,,"no postal_code"
"ocotillo-hoa-pickleball-courts","Chandler",AZ,85248,"Maricopa",zip_nearest_county_centroid,0.6,0.6332,"ZCTA spans 2 counties; nearest county centroid is 58 km away, next is 61 km (margin 4 km)"
"pickleball-kingdom-chandler-f50016","Chandler",AZ,,"",none,0,,"no postal_code"
"gilbert-high-school","Gilbert",AZ,85299,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"mountainbrook-village","Gold Canyon",AZ,85218,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"goodyear-tennis-complex","Goodyear",AZ,89395,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"the-flying-pickle-goodyear","Goodyear",AZ,,"",none,0,,"no postal_code"
"guerneville","Guerneville",AZ,95446,"Sonoma",zip_single_county,0,1,"derived county is in CA but the row says AZ - ZIP or state is wrong"
"laguna-niguel-regional-park","Laguna Niguel",AZ,92677,"Orange",zip_single_county,0,1,"derived county is in CA but the row says AZ - ZIP or state is wrong"
"mt-tam-racquet-club","Larkspur",AZ,94939,"Marin",zip_single_county,0,1,"derived county is in CA but the row says AZ - ZIP or state is wrong"
"dell-webb-at-dove-mountain","Marana",AZ,85653,"Pinal",zip_nearest_county_centroid,0.78,0.0509,"ZCTA spans 2 counties; nearest county centroid is 56 km away, next is 74 km (margin 18 km) — OVERRODE the larger-by-land-area candidate"
"oro-mae-harn-district-park","Marana",AZ,85653,"Pinal",zip_nearest_county_centroid,0.78,0.0509,"ZCTA spans 2 counties; nearest county centroid is 54 km away, next is 65 km (margin 10 km) — OVERRODE the larger-by-land-area candidate"
"the-highlands-at-dove-mountain","Marana",AZ,85653,"Pinal",zip_nearest_county_centroid,0.78,0.0509,"ZCTA spans 2 counties; nearest county centroid is 59 km away, next is 76 km (margin 16 km) — OVERRODE the larger-by-land-area candidate"
"the-meadows","Maricopa",AZ,85139,"Maricopa",zip_nearest_county_centroid,0.78,0.472,"ZCTA spans 2 counties; nearest county centroid is 52 km away, next is 66 km (margin 14 km) — OVERRODE the larger-by-land-area candidate"
"liberty-arts-academy","Mesa",AZ,85212,"Pinal",zip_nearest_county_centroid,0.78,0.076,"ZCTA spans 2 counties; nearest county centroid is 58 km away, next is 75 km (margin 18 km) — OVERRODE the larger-by-land-area candidate"
"the-picklr-mesa","Mesa",AZ,,"",none,0,,"no postal_code"
"shady-oaks-park","Orangevale",AZ,95662,"Sacramento",zip_single_county,0,1,"derived county is in CA but the row says AZ - ZIP or state is wrong"
"the-flying-pickle-phoenix","Phoenix",AZ,,"",none,0,,"no postal_code"
"holiday-palms-rv-park","Quartzsite",AZ,85359,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"smash-park-scottsdale-f50010","Scottsdale",AZ,,"",none,0,,"no postal_code"
"the-picklr-scottsdale-north","Scottsdale",AZ,,"",none,0,,"no postal_code"
"juniper-ridge-resort","Show Low",AZ,85901,"Navajo",zip_nearest_county_centroid,0.6,0.8952,"ZCTA spans 2 counties; nearest county centroid is 119 km away, next is 124 km (margin 5 km)"
"juniper-ridge-rv-resort","Show Low",AZ,85901,"Navajo",zip_nearest_county_centroid,0.6,0.8952,"ZCTA spans 2 counties; nearest county centroid is 129 km away, next is 135 km (margin 6 km)"
"show-low-city-gym","Show Low",AZ,85901,"Navajo",zip_nearest_county_centroid,0.6,0.8952,"ZCTA spans 2 counties; nearest county centroid is 130 km away, next is 136 km (margin 6 km)"
"sun-lakes-country-club-pb-club-slccpc","Sun Lakes",AZ,85248,"Pinal",zip_nearest_county_centroid,0.6,0.3668,"ZCTA spans 2 counties; nearest county centroid is 57 km away, next is 60 km (margin 3 km) — OVERRODE the larger-by-land-area candidate"
"sun-lakes-pickleball-club-cottonwood","Sun Lakes",AZ,85248,"Pinal",zip_nearest_county_centroid,0.6,0.3668,"ZCTA spans 2 counties; nearest county centroid is 57 km away, next is 60 km (margin 3 km) — OVERRODE the larger-by-land-area candidate"
