city_key,wanted_slug,slug,name,street_address,total_courts,latitude,longitude,km_apart
NY/plattsburgh/south-acres-park,south-acres-park,south-acres-park-3287,South Acres Park,"51 Flynn Avenue , (near The Red Barn)",5,44.6960855,-73.4542915,1.786
OR/tigard/summer-lake-park,summer-lake-park,summer-lake-park,Summer lake park,Summer lake park,6,45.4416774,-122.8086803,3.114
OR/tigard/summer-lake-park,summer-lake-park,summer-lake-park-10004,Summer Lake Park,"11450 SW Winter Lake Dr,",6,45.4307473,-122.771933,3.114
PA/phoenixville/phoenixville-civic-center,phoenixville-civic-center,phoenixville-civic-center,Phoenixville Civic Center,123 Main Street,3,40.1233956,-75.5126891,2.210
PA/phoenixville/phoenixville-civic-center,phoenixville-civic-center,phoenixville-civic-center-11040,Phoenixville Civic Center,501 Franklin Avenue,4,40.142317,-75.520648,2.210
SC/mt-pleasant/crush-yard-charleston-f10035,crush-yard-charleston-f10035,crush-yard-charleston-f10035,Crush Yard Charleston,3365 S Morgans Point Rd,6,32.8733525,-79.77216,0.000
SC/mt-pleasant/crush-yard-charleston-f10035,crush-yard-charleston-f10035,crush-yard-charleston-f10035,Crush Yard Charleston,3365 S Morgans Point Rd,6,32.8733525,-79.77216,0.000
TX/floresville/floresville-event-center,floresville-event-center,floresville-event-center,Floresville Event Center,"600 TX-97, Floresville, TX 78114",3,29.1175661,-98.1730017,2.421
TX/floresville/floresville-event-center,floresville-event-center,floresville-event-center-12431,Floresville Event Center,600 SH 97 West,,29.1335781,-98.1561192,2.421
UT/herriman/the-picklr-bluffdale,the-picklr-bluffdale,the-picklr-bluffdale,The Picklr Bluffdale,15892 S Rockwell Park Cove,10,40.4621124,-111.9485397,0.000
UT/herriman/the-picklr-bluffdale,the-picklr-bluffdale,the-picklr-bluffdale,The Picklr Bluffdale,15892 S Rockwell Park Cove,10,40.4621124,-111.9485397,0.000
UT/logan/north-logan-the-picklr-north-logan-ut,north-logan-the-picklr-north-logan-ut,north-logan-the-picklr-north-logan-ut,The Picklr Logan,1650 North Main Street,9,41.7621418,-111.8325731,0.000
UT/logan/north-logan-the-picklr-north-logan-ut,north-logan-the-picklr-north-logan-ut,north-logan-the-picklr-north-logan-ut,The Picklr Logan,1650 North Main Street,9,41.7621418,-111.8325731,0.000
VA/north-chesterfield/scott-pickleball-center-at-rockwood-park,scott-pickleball-center-at-rockwood-park,scott-pickleball-center-at-rockwood-park,Scott Pickleball Center at Rockwood Park,3401 Courthouse Road,8,37.4479678,-77.5814851,0.000
VA/north-chesterfield/scott-pickleball-center-at-rockwood-park,scott-pickleball-center-at-rockwood-park,scott-pickleball-center-at-rockwood-park,Scott Pickleball Center at Rockwood Park,3401 Courthouse Road,8,37.4479678,-77.5814851,0.000
WA/bellevue/hillaire-park,hillaire-park,hillaire-park,Hillaire Park,15803 Ne 6th Street,1,47.6151145,-122.1297194,4.694
WA/bellevue/hillaire-park,hillaire-park,hillaire-park-4484,Hillaire Park,East Lake Hills,1,47.6144219,-122.192337,4.694
WI/oshkosh/oshkosh-community-ymca,oshkosh-community-ymca,oshkosh-community-ymca,Oshkosh Community Ymca,3303 West 20th Ave.,5,43.9948389,-88.6165819,7.200
WI/oshkosh/oshkosh-community-ymca,oshkosh-community-ymca,oshkosh-community-ymca-4682,Oshkosh Community Ymca,324 Washington Ave.,3,44.0182777,-88.53266,7.200
